entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"Mexico","MEX",false,"2000","Bioenergy",false,6.36,3.12,64.49,0.3,4.95,-0.07,3.04
"Mexico","MEX",false,"2000","Coal",false,19.05,9.36,193.15,0.44,2.36,-0.44,4.46
"Mexico","MEX",false,"2000","Gas",false,40.31,19.8,408.72,7.4,22.49,2.48,75.03
"Mexico","MEX",false,"2000","Hydro",false,33.07,16.24,335.31,0.36,1.1,-0.98,3.65
"Mexico","MEX",false,"2000","Nuclear",false,8.22,4.04,83.35,-1.78,-17.8,-1.22,-18.05
"Mexico","MEX",false,"2000","Other fossil",false,96.58,47.43,979.26,6.91,7.71,0.23,70.06
"Mexico","MEX",false,"2000","Solar",false,0.01,0,0.1,0,0,-0.01,0
"Mexico","MEX",false,"2000","Total generation",true,203.62,100,2064.58,13.63,7.17,0,138.2
"Mexico","MEX",false,"2000","Wind",false,0.02,0.01,0.2,0,0,0,0
"Mexico","MEX",false,"2001","Bioenergy",false,6.25,2.97,62.44,-0.11,-1.73,-0.15,-1.1
"Mexico","MEX",false,"2001","Coal",false,23.17,11.02,231.47,4.12,21.63,1.66,41.16
"Mexico","MEX",false,"2001","Gas",false,50.86,24.19,508.1,10.55,26.17,4.39,105.4
"Mexico","MEX",false,"2001","Hydro",false,28.44,13.53,284.12,-4.63,-14,-2.71,-46.25
"Mexico","MEX",false,"2001","Nuclear",false,8.73,4.15,87.21,0.51,6.2,0.11,5.09
"Mexico","MEX",false,"2001","Other fossil",false,92.74,44.12,926.48,-3.84,-3.98,-3.31,-38.36
"Mexico","MEX",false,"2001","Solar",false,0.01,0,0.1,0,0,0,0
"Mexico","MEX",false,"2001","Total generation",true,210.22,100,2100.12,6.6,3.24,0,65.93
"Mexico","MEX",false,"2001","Wind",false,0.02,0.01,0.2,0,0,0,0
"Mexico","MEX",false,"2002","Bioenergy",false,6.07,2.81,59.77,-0.18,-2.88,-0.16,-1.77
"Mexico","MEX",false,"2002","Coal",false,26.1,12.1,257.02,2.93,12.65,1.08,28.85
"Mexico","MEX",false,"2002","Gas",false,69.6,32.26,685.39,18.74,36.85,8.07,184.54
