"State ID","State","Quarter ID","Quarter","Workforce","Workforce Growth","Workforce Growth Value","lastPeriod"
2,"Baja California",20251,"2025-Q1",1554,-0.7038871951219512,-3694,5248
3,"Baja California Sur",20251,"2025-Q1",1416,-0.04065040650406504,-60,1476
4,"Campeche",20251,"2025-Q1",5034,-0.1811971372804164,-1114,6148
6,"Colima",20251,"2025-Q1",1267,0.43163841807909603,382,885
7,"Chiapas",20251,"2025-Q1",4921,0.6176857330703485,1879,3042
8,"Chihuahua",20251,"2025-Q1",469,,,469
11,"Guanajuato",20251,"2025-Q1",2621,1.77061310782241,1675,946
12,"Guerrero",20251,"2025-Q1",12922,0.268479434573476,2735,10187
13,"Hidalgo",20251,"2025-Q1",555,,,555
14,"Jalisco",20251,"2025-Q1",953,-0.45418098510882016,-793,1746
16,"Michoacán de Ocampo",20251,"2025-Q1",718,-0.3606411398040962,-405,1123
18,"Nayarit",20251,"2025-Q1",7193,-0.11043779371753648,-893,8086
20,"Oaxaca",20251,"2025-Q1",3045,-0.49122807017543857,-2940,5985
22,"Querétaro",20251,"2025-Q1",1084,,,1084
23,"Quintana Roo",20251,"2025-Q1",1321,-0.22476525821596244,-383,1704
25,"Sinaloa",20251,"2025-Q1",14219,-0.005733864764701769,-82,14301
26,"Sonora",20251,"2025-Q1",5292,-0.33667585861118077,-2686,7978
27,"Tabasco",20251,"2025-Q1",6474,0.040167095115681235,250,6224
28,"Tamaulipas",20251,"2025-Q1",3572,1.6696562032884903,2234,1338
30,"Veracruz de Ignacio de la Llave",20251,"2025-Q1",9485,1.0892070484581498,4945,4540
31,"Yucatán",20251,"2025-Q1",10966,0.23769751693002258,2106,8860
