"Nation ID","Nation","State ID","State","Municipality ID","Municipality","Economic Unit","digitos"
"mex","México",2,"Baja California",2001,"Ensenada",194,4
"mex","México",2,"Baja California",2002,"Mexicali",25,4
"mex","México",2,"Baja California",2005,"Playas de Rosarito",7,4
"mex","México",3,"Baja California Sur",3001,"Comondú",221,4
"mex","México",3,"Baja California Sur",3002,"Mulegé",207,4
"mex","México",3,"Baja California Sur",3003,"La Paz",160,4
"mex","México",4,"Campeche",4002,"Campeche",168,4
"mex","México",4,"Campeche",4003,"Carmen",301,4
"mex","México",4,"Campeche",4004,"Champotón",163,4
"mex","México",4,"Campeche",4007,"Palizada",49,4
"mex","México",5,"Coahuila de Zaragoza",5036,"Viesca",6,4
"mex","México",6,"Colima",6001,"Armería",5,4
"mex","México",6,"Colima",6002,"Colima",3,4
"mex","México",6,"Colima",6007,"Manzanillo",118,4
"mex","México",6,"Colima",6009,"Tecomán",13,4
"mex","México",7,"Chiapas",7002,"Acala",3,4
"mex","México",7,"Chiapas",7003,"Acapetahua",38,4
"mex","México",7,"Chiapas",7020,"La Concordia",15,4
"mex","México",7,"Chiapas",7051,"Mapastepec",13,4
"mex","México",7,"Chiapas",7065,"Palenque",4,4
"mex","México",7,"Chiapas",7069,"Pijijiapan",65,4
"mex","México",7,"Chiapas",7083,"Socoltenango",3,4
"mex","México",7,"Chiapas",7089,"Tapachula",39,4
"mex","México",7,"Chiapas",7092,"Tecpatán",6,4
"mex","México",7,"Chiapas",7106,"Venustiano Carranza",6,4
"mex","México",7,"Chiapas",7107,"Villa Corzo",14,4
"mex","México",8,"Chihuahua",8002,"Aldama",6,4
"mex","México",8,"Chihuahua",8048,"Namiquipa",5,4
"mex","México",10,"Durango",10005,"Durango",3,5
"mex","México",12,"Guerrero",12001,"Acapulco de Juárez",256,5
"mex","México",12,"Guerrero",12003,"Ajuchitlán del Progreso",17,5
"mex","México",12,"Guerrero",12006,"Apaxtla",32,5
"mex","México",12,"Guerrero",12011,"Atoyac de Álvarez",16,5
"mex","México",12,"Guerrero",12013,"Azoyú",4,5
"mex","México",12,"Guerrero",12014,"Benito Juárez",88,5
"mex","México",12,"Guerrero",12017,"Cocula",51,5
"mex","México",12,"Guerrero",12018,"Copala",22,5
"mex","México",12,"Guerrero",12021,"Coyuca de Benítez",93,5
"mex","México",12,"Guerrero",12027,"Cutzamala de Pinzón",30,5
"mex","México",12,"Guerrero",12030,"Florencio Villarreal",199,5
"mex","México",12,"Guerrero",12035,"Iguala de la Independencia",18,5
"mex","México",12,"Guerrero",12038,"Zihuatanejo de Azueta",27,5
"mex","México",12,"Guerrero",12039,"Juan R. Escudero",11,5
"mex","México",12,"Guerrero",12046,"Ometepec",78,5
"mex","México",12,"Guerrero",12056,"Tecoanapa",8,5
"mex","México",12,"Guerrero",12059,"Tepecoacuilco de Trujano",27,5
"mex","México",12,"Guerrero",12068,"La Unión de Isidoro Montes de Oca",48,5
"mex","México",12,"Guerrero",12073,"Zirándaro",32,5
"mex","México",12,"Guerrero",12075,"Eduardo Neri",4,5
"mex","México",12,"Guerrero",12077,"Marquelia",13,5
"mex","México",13,"Hidalgo",13058,"Tasquillo",5,5
"mex","México",14,"Jalisco",14020,"Cabo Corrientes",8,5
"mex","México",14,"Jalisco",14022,"Cihuatlán",6,5
"mex","México",14,"Jalisco",14027,"Cuautitlán de García Barragán",4,5
"mex","México",14,"Jalisco",14030,"Chapala",6,5
"mex","México",14,"Jalisco",14047,"Jamay",17,5
"mex","México",14,"Jalisco",14066,"Poncitlán",14,5
"mex","México",14,"Jalisco",14095,"Teuchitlán",3,5
"mex","México",14,"Jalisco",14096,"Tizapán el Alto",6,5
"mex","México",14,"Jalisco",14099,"Tolimán",3,5
"mex","México",14,"Jalisco",14105,"Tototlán",3,5
"mex","México",14,"Jalisco",14107,"Tuxcueca",5,5
"mex","México",14,"Jalisco",14110,"Unión de Tula",5,5
"mex","México",14,"Jalisco",14114,"Villa Corona",3,5
"mex","México",14,"Jalisco",14124,"Zapotlanejo",3,5
"mex","México",15,"Estado de México",15003,"Aculco",6,5
"mex","México",15,"Estado de México",15105,"Tlatlaya",4,5
"mex","México",15,"Estado de México",15110,"Valle de Bravo",3,5
"mex","México",15,"Estado de México",15112,"Villa del Carbón",7,5
"mex","México",16,"Michoacán de Ocampo",16003,"Álvaro Obregón",8,5
"mex","México",16,"Michoacán de Ocampo",16008,"Aquila",15,5
"mex","México",16,"Michoacán de Ocampo",16032,"Erongarícuaro",10,5
"mex","México",16,"Michoacán de Ocampo",16034,"Hidalgo",4,5
"mex","México",16,"Michoacán de Ocampo",16035,"La Huacana",90,5
"mex","México",16,"Michoacán de Ocampo",16038,"Huetamo",4,5
"mex","México",16,"Michoacán de Ocampo",16052,"Lázaro Cárdenas",48,5
"mex","México",16,"Michoacán de Ocampo",16053,"Morelia",4,5
"mex","México",16,"Michoacán de Ocampo",16066,"Pátzcuaro",28,5
"mex","México",16,"Michoacán de Ocampo",16073,"Quiroga",4,5
"mex","México",16,"Michoacán de Ocampo",16074,"Cojumatlán de Régules",10,5
"mex","México",16,"Michoacán de Ocampo",16110,"Zinapécuaro",5,5
"mex","México",16,"Michoacán de Ocampo",16112,"Zitácuaro",7,5
"mex","México",18,"Nayarit",18001,"Acaponeta",16,5
"mex","México",18,"Nayarit",18004,"Compostela",36,5
"mex","México",18,"Nayarit",18009,"Del Nayar",61,5
"mex","México",18,"Nayarit",18010,"Rosamorada",11,5
"mex","México",18,"Nayarit",18011,"Ruíz",4,5
"mex","México",18,"Nayarit",18012,"San Blas",151,5
"mex","México",18,"Nayarit",18014,"Santa María del Oro",11,5
"mex","México",18,"Nayarit",18015,"Santiago Ixcuintla",438,5
"mex","México",18,"Nayarit",18016,"Tecuala",192,5
"mex","México",18,"Nayarit",18018,"Tuxpan",197,5
"mex","México",18,"Nayarit",18020,"Bahía de Banderas",19,5
"mex","México",20,"Oaxaca",20039,"Heroica Ciudad de Huajuapan de León",25,5
"mex","México",20,"Oaxaca",20043,"Juchitán de Zaragoza",71,5
"mex","México",20,"Oaxaca",20057,"Matías Romero Avendaño",9,5
"mex","México",20,"Oaxaca",20124,"San Blas Atempa",3,5
"mex","México",20,"Oaxaca",20130,"San Dionisio del Mar",10,5
"mex","México",20,"Oaxaca",20141,"San Francisco del Mar",41,5
"mex","México",20,"Oaxaca",20143,"San Francisco Ixhuatán",128,5
"mex","México",20,"Oaxaca",20169,"San José Independencia",99,5
"mex","México",20,"Oaxaca",20232,"San Lucas Ojitlán",317,5
"mex","México",20,"Oaxaca",20248,"San Mateo del Mar",116,5
"mex","México",20,"Oaxaca",20307,"San Pedro Huamelula",23,5
"mex","México",20,"Oaxaca",20309,"San Pedro Ixcatlán",187,5
"mex","México",20,"Oaxaca",20327,"San Pedro Tapanatepec",32,5
"mex","México",20,"Oaxaca",20406,"Santa María Chilchotla",84,5
"mex","México",20,"Oaxaca",20413,"Santa María Huatulco",27,5
"mex","México",20,"Oaxaca",20439,"Santa María Tonameca",23,5
"mex","México",20,"Oaxaca",20441,"Santa María Xadani",7,5
"mex","México",20,"Oaxaca",20453,"Santiago Astata",17,5
"mex","México",20,"Oaxaca",20467,"Santiago Jamiltepec",30,5
"mex","México",20,"Oaxaca",20482,"Santiago Pinotepa Nacional",68,5
"mex","México",20,"Oaxaca",20559,"San Juan Bautista Valle Nacional",6,5
"mex","México",21,"Puebla",21025,"Ayotoxco de Guerrero",31,5
"mex","México",21,"Puebla",21067,"Guadalupe Victoria",7,5
