ent,mun,Sexo,Estatus_Laboral,Total_Personas
27,1.0,Hombre,No Trabaja (Desocupado),298
27,1.0,Hombre,Trabaja,13254
27,1.0,Mujer,Trabaja,6002
27,2.0,Hombre,No Trabaja (Desocupado),4933
27,2.0,Hombre,Trabaja,88872
27,2.0,Mujer,No Trabaja (Desocupado),2437
27,2.0,Mujer,Trabaja,62662
27,3.0,Hombre,No Trabaja (Desocupado),1852
27,3.0,Hombre,Trabaja,29054
27,3.0,Mujer,No Trabaja (Desocupado),575
27,3.0,Mujer,Trabaja,10460
27,4.0,Hombre,No Trabaja (Desocupado),6889
27,4.0,Hombre,Trabaja,183642
27,4.0,Mujer,No Trabaja (Desocupado),7838
27,4.0,Mujer,Trabaja,121315
27,5.0,Hombre,No Trabaja (Desocupado),2039
27,5.0,Hombre,Trabaja,52809
27,5.0,Mujer,No Trabaja (Desocupado),1525
27,5.0,Mujer,Trabaja,27226
27,6.0,Hombre,No Trabaja (Desocupado),888
27,6.0,Hombre,Trabaja,54165
27,6.0,Mujer,No Trabaja (Desocupado),2386
27,6.0,Mujer,Trabaja,17824
27,8.0,Hombre,No Trabaja (Desocupado),371
27,8.0,Hombre,Trabaja,58260
27,8.0,Mujer,No Trabaja (Desocupado),1008
27,8.0,Mujer,Trabaja,29274
27,9.0,Hombre,No Trabaja (Desocupado),859
27,9.0,Hombre,Trabaja,14604
27,9.0,Mujer,No Trabaja (Desocupado),438
27,9.0,Mujer,Trabaja,7506
27,10.0,Hombre,No Trabaja (Desocupado),420
27,10.0,Hombre,Trabaja,20573
27,10.0,Mujer,Trabaja,14994
27,11.0,Hombre,No Trabaja (Desocupado),190
27,11.0,Hombre,Trabaja,29015
27,11.0,Mujer,No Trabaja (Desocupado),858
27,11.0,Mujer,Trabaja,19911
27,12.0,Hombre,No Trabaja (Desocupado),3945
27,12.0,Hombre,Trabaja,44790
27,12.0,Mujer,No Trabaja (Desocupado),935
27,12.0,Mujer,Trabaja,29694
27,13.0,Hombre,No Trabaja (Desocupado),759
27,13.0,Hombre,Trabaja,37561
27,13.0,Mujer,No Trabaja (Desocupado),526
27,13.0,Mujer,Trabaja,20139
27,14.0,Hombre,No Trabaja (Desocupado),3184
27,14.0,Hombre,Trabaja,27661
27,14.0,Mujer,No Trabaja (Desocupado),545
27,14.0,Mujer,Trabaja,19821
27,16.0,Hombre,No Trabaja (Desocupado),762
27,16.0,Hombre,Trabaja,8001
27,16.0,Mujer,Trabaja,3048
27,17.0,Hombre,No Trabaja (Desocupado),1070
27,17.0,Hombre,Trabaja,34952
27,17.0,Mujer,No Trabaja (Desocupado),1084
27,17.0,Mujer,Trabaja,23298
30,3.0,Hombre,Trabaja,21818
30,3.0,Mujer,Trabaja,15971
30,6.0,Hombre,Trabaja,36658
30,6.0,Mujer,Trabaja,17323
30,10.0,Hombre,Trabaja,15467
30,10.0,Mujer,Trabaja,16866
30,11.0,Hombre,Trabaja,12210
30,11.0,Mujer,Trabaja,11100
30,14.0,Hombre,Trabaja,28846
30,14.0,Mujer,Trabaja,27280
30,15.0,Hombre,Trabaja,7774
